"_id","TimeStamp","PayloadDeviceType","PayloadString","Protocol"
"5df52dffb29815eecf294127","2019-12-14T18:46:23.597Z",1,"46454d44473836393836373033303336393632353839393132373231373332303939353236303346312e3030312e303001496465611c3ad4bc414effa1a5424519121418453104000000006d002af556","IP"
"5df53541b29815eecf294314","2019-12-14T19:17:21.086Z",1,"46454d44473836393836373033303238343234363839393132373231373332303939353132353846312e3030312e303002566f64611a5dd5e0414e888c99424519121419165605000000006c002972f1","IP"
"5df53534b29815eecf294313","2019-12-14T19:17:08.709Z",1,"46454d44473836393836373033303238343234363839393132373231373332303939353132353846312e3030312e303001566f64611a5bd5e0414e878c99424519121419165504000000006c0029ef98","IP"
"5df534ccb29815eecf294312","2019-12-14T19:15:24.430Z",1,"46454d44473836393836373033303337303830353839393132373231373332303939353038333946312e3030312e303005566f646110b0eadf414e7a9a9442451912141915200d000000007200298e88","IP"
"5df534b2b29815eecf294311","2019-12-14T19:14:58.526Z",1,"46454d44473836393836373033303238343234363839393132373231373332303939353132353846312e3030312e303002566f64611b16d5e0414e9a8c99424519121419144505000000006a002945da","IP"
"5df5335db29815eecf294310","2019-12-14T19:09:17.528Z",1,"46454d44473836393836373033303337303830353839393132373231373332303939353038333946312e3030312e303005566f646110beeadf414e779a9442451912141909110d000000007200294af8","IP"
"5df532b0b29815eecf29430f","2019-12-14T19:06:24.732Z",1,"46454d44473836393836373033303337303830353839393132373231373332303939353038333946312e3030312e303005566f646110b4eadf414e7c9a9442451912141906200d00000000720028fa85","IP"
"5df53290b29815eecf29430e","2019-12-14T19:05:52.582Z",1,"46454d44473836393836373033303337303830353839393132373231373332303939353038333946312e3030312e303005566f64610fb4eadf414e7a9a9442451912141905480d00000000720028e4df","IP"
"5df53288b29815eecf29430d","2019-12-14T19:05:44.503Z",1,"46454d44473836393836373033303337303830353839393132373231373332303939353038333946312e3030312e303005566f646110b1eadf414e799a9442451912141905400d000000007200293ea1","IP"
"5df531b2b29815eecf29430c","2019-12-14T19:02:10.769Z",1,"46454d44473836393836373033303337303830353839393132373231373332303939353038333946312e3030312e303005566f646110baeadf414e769a9442451912141902060d0000000072002988e3","IP"
"5df531a8b29815eecf29430b","2019-12-14T19:02:00.759Z",1,"46454d44473836393836373033303234323930353839393132373231373332303939353239353946312e3030312e303010496465611aab5ebe414e4a48a5424519121419000004000000006d0028c27e","IP"
"5df5317fb29815eecf29430a","2019-12-14T19:01:19.098Z",1,"46454d44473836393836373033303238353731343839393132373231373332303939353130373646312e3030312e303010496465611a80d4af414e9a37a6424519121419000005000000006e00296748","IP"
"5df5317eb29815eecf294309","2019-12-14T19:01:18.900Z",1,"46454d44473836313335393033373439303032343839393132373231373232303736353738313846312e3030312e303010566f646114bffea0414e6bef944245191214190000040000000086002d0b6e","IP"
"5df5317eb29815eecf294308","2019-12-14T19:01:18.574Z",1,"46454d44473836393836373033303231313830313839393132373231373332303939353231383146312e3030312e3030104964656112bf46be414e18939e424519121419000006000000007000291a0c","IP"
"5df5317eb29815eecf294307","2019-12-14T19:01:18.257Z",1,"46454d44473836393836373033303238343339343839393132373231373332303939353132373446312e3030312e303010566f64610de8f9b0414ea88cb1424519121419000005000000006c00298947","IP"
"5df5317eb29815eecf294306","2019-12-14T19:01:18.209Z",1,"46454d44473836393836373033303336373736393839393132373231373332303939353332333946312e3030312e3030104964656116a77cba414e61a69a424519121419000006000000007100295e1c","IP"
"5df5317eb29815eecf294305","2019-12-14T19:01:18.081Z",1,"46454d44473836393836373033303336383333383839393132373231373332303939353338363646312e3030312e303010496465610eee0eb5414e3d3e9b4245191214190000040000000071002829f6","IP"
"5df5317db29815eecf294304","2019-12-14T19:01:17.904Z",1,"46454d44473836393836373033303336393936333839393132373231373332303939353036363446312e3030312e303010566f646118c088c8414e1a15b0424519121419000004000000006d00289aa1","IP"
"5df5317db29815eecf294303","2019-12-14T19:01:17.814Z",1,"46454d44473836393836373033303336383035363839393132373231373332303939353333313246312e3030312e3030104964656117b9e0bd414e4399a5424519121419000004000000006e0028c6ad","IP"
"5df5317db29815eecf294302","2019-12-14T19:01:17.715Z",1,"46454d44473836393836373033303337303830353839393132373231373332303939353038333946312e3030312e303005566f64610fa3eadf414e759a9442451912141900340d00000000720028246c","IP"
"5df5317db29815eecf294301","2019-12-14T19:01:17.617Z",1,"46454d44473836393836373033303238333431323839393132373231373332303939353137343646312e3030312e303010566f646115d458e0414e1fa4964245191214190000040000000070002913ab","IP"
"5df5317db29815eecf294300","2019-12-14T19:01:17.359Z",1,"46454d44473836393836373033303337303534303839393132373231373332303939353039333846312e3030312e303010496465611a5bf4b1414e080298424519121419000004000000007000288d41","IP"
"5df5317db29815eecf2942ff","2019-12-14T19:01:17.203Z",1,"46454d44473836393836373033303238333637373839393132373231373332303939353139363946312e3030312e30301049646561125788ba414e90eb9a424519121419000004000000006d00284f13","IP"
"5df5317cb29815eecf2942fe","2019-12-14T19:01:16.987Z",1,"46454d44473836393836373033303337303735353839393132373231373332303939353038313346312e3030312e303010566f6461163d71d4414eea6db2424519121419000005000000006f0029b273","IP"
"5df5317cb29815eecf2942fd","2019-12-14T19:01:16.847Z",1,"46454d44473836393836373033303337303739373839393132373231373332303939353236323946312e3030312e303010496465610c9521bc414e77979b42451912141900000400000000710029a471","IP"
"5df5317cb29815eecf2942fc","2019-12-14T19:01:16.542Z",1,"46454d44473836393836373033303337303831333839393132373231373332303939353037353546312e3030312e303010566f64610fbebced414e610b94424519121419000004000000006c0029d2db","IP"
"5df5317cb29815eecf2942fb","2019-12-14T19:01:16.343Z",1,"46454d44473836393836373033303337303734383839393132373231373332303939353037363346312e3030312e303010566f64611574ebbe414e4501b0424519121419000004000000006d002922ca","IP"
"5df5317cb29815eecf2942fa","2019-12-14T19:01:16.244Z",1,"504f5354202f6170692f536d61727446756e6e656c2f534d533f20485454502f312e310d0a557365722d4167656e743a204d6f7a696c6c612f342e39390d0a486f73743a20736d61727464672e696e3a","IP"
"5df5317cb29815eecf2942f9","2019-12-14T19:01:16.047Z",1,"46454d44473836393836373033303231313830313839393132373231373332303939353231383146312e3030312e3030104964656112bf46be414e18939e424519121419000006000000007000291a0c","IP"
"5df5317bb29815eecf2942f8","2019-12-14T19:01:15.908Z",1,"46454d44473836393836373033303238353731343839393132373231373332303939353130373646312e3030312e303010496465611a80d4af414e9a37a6424519121419000005000000006e00296748","IP"
"5df5317bb29815eecf2942f7","2019-12-14T19:01:15.581Z",1,"46454d44473836313335393033373439303032343839393132373231373232303736353738313846312e3030312e303010566f646114bffea0414e6bef944245191214190000040000000086002d0b6e","IP"
"5df5317bb29815eecf2942f6","2019-12-14T19:01:15.381Z",1,"46454d44473836393836373033303337303832313839393132373231373332303939353332383846312e3030312e303010496465611aa465be414eec5da5424519121419000005000000006b00285f57","IP"
"5df5317bb29815eecf2942f5","2019-12-14T19:01:15.273Z",1,"46454d44473836393836373033303336393639303839393132373231373332303939353037303646312e3030312e303010566f6461137a7fb3414eb52eb1424519121419000005000000006e0028f998","IP"
"5df5317bb29815eecf2942f4","2019-12-14T19:01:15.074Z",1,"46454d44473836393836373033303238343339343839393132373231373332303939353132373446312e3030312e303010566f64610de8f9b0414ea88cb1424519121419000005000000006c00298947","IP"
"5df5317ab29815eecf2942f3","2019-12-14T19:01:14.945Z",1,"46454d44473836393836373033303336373736393839393132373231373332303939353332333946312e3030312e3030104964656116a77cba414e61a69a424519121419000006000000007100295e1c","IP"
"5df5317ab29815eecf2942f2","2019-12-14T19:01:14.738Z",1,"46454d44473836393836373033303336383333383839393132373231373332303939353338363646312e3030312e303010496465610eee0eb5414e3d3e9b4245191214190000040000000071002829f6","IP"
"5df5317ab29815eecf2942f1","2019-12-14T19:01:14.638Z",1,"46454d44473836393836373033303336383035363839393132373231373332303939353333313246312e3030312e3030104964656117b9e0bd414e4399a5424519121419000004000000006e0028c6ad","IP"
"5df5317ab29815eecf2942f0","2019-12-14T19:01:14.371Z",1,"46454d44473836393836373033303337303534303839393132373231373332303939353039333846312e3030312e303010496465611a5bf4b1414e080298424519121419000004000000007000288d41","IP"
"5df53179b29815eecf2942ef","2019-12-14T19:01:13.898Z",1,"46454d44473836393836373033303336393936333839393132373231373332303939353036363446312e3030312e303010566f646118c088c8414e1a15b0424519121419000004000000006d00289aa1","IP"
"5df53179b29815eecf2942ee","2019-12-14T19:01:13.631Z",1,"46454d44473836393836373033303238333431323839393132373231373332303939353137343646312e3030312e303010566f646115d458e0414e1fa4964245191214190000040000000070002913ab","IP"
"5df53179b29815eecf2942ed","2019-12-14T19:01:13.374Z",1,"46454d44473836393836373033303238333637373839393132373231373332303939353139363946312e3030312e30301049646561125788ba414e90eb9a424519121419000004000000006d00284f13","IP"
"5df53179b29815eecf2942ec","2019-12-14T19:01:13.246Z",1,"46454d44473836393836373033303337303735353839393132373231373332303939353038313346312e3030312e303010566f6461163d71d4414eea6db2424519121419000005000000006f0029b273","IP"
"5df53178b29815eecf2942eb","2019-12-14T19:01:12.960Z",1,"46454d44473836393836373033303337303831333839393132373231373332303939353037353546312e3030312e303010566f64610fbebced414e610b94424519121419000004000000006c0029d2db","IP"
"5df53178b29815eecf2942ea","2019-12-14T19:01:12.793Z",1,"46454d44473836393836373033303337303739373839393132373231373332303939353236323946312e3030312e303010496465610c9521bc414e77979b42451912141900000400000000710029a471","IP"
"5df53178b29815eecf2942e9","2019-12-14T19:01:12.604Z",1,"46454d44473836393836373033303337303734383839393132373231373332303939353037363346312e3030312e303010566f64611574ebbe414e4501b0424519121419000004000000006d002922ca","IP"
"5df53178b29815eecf2942e8","2019-12-14T19:01:12.311Z",1,"46454d44473836393836373033303231313830313839393132373231373332303939353231383146312e3030312e3030104964656112bf46be414e18939e424519121419000006000000007000291a0c","IP"
